> ls -d edu.ru 
[ns.msu.ru]
 edu.ru.                        SOA    ns.informika.ru hostmaster.informika.ru. (3018030303 43200 7200 1468800 172800)
 biot                           NS     ns1.beget.com                 
 biot                           NS     ns1.beget.pro                 
 biot                           NS     ns2.beget.RU                  
 biot                           NS     ns2.beget.com                 
 biot                           NS     ns2.beget.pro                 
 BOLSHAYA                       NS     ns1.hostinger.ru              
 BOLSHAYA                       NS     ns2.hostinger.ru              
 BOLSHAYA                       NS     ns3.hostinger.ru              
 BOLSHAYA                       NS     ns4.hostinger.ru              
 book                           NS     dns1.yandex.ru                
 book                           NS     dns2.yandex.ru                
 bsaa                           NS     dns1.yandex.ru                
 bsaa                           NS     dns2.yandex.ru                
 bschool25                      NS     dns1.netbreeze.net            
 bschool25                      NS     dns2.netbreeze.net            
 bschool25                      NS     dns3.netbreeze.net            
 BSHT                           NS     dns1.yandex.ru                
 BSHT                           NS     dns2.yandex.ru                
 bstu                           NS     ns.masterhost.ru              
 bstu                           NS     ns1.masterhost.ru             
 bstu                           NS     ns2.masterhost.ru             
 bsu                            NS     ns.bsu.edu.ru                 
 bsu                            NS     ns.informika.ru               
 ns.bsu                         A      95.167.109.66
 budget                         NS     ns1.cbias.ru                  
 budget                         NS     ns2.cbias.ru                  
 budget                         NS     ns3.cbias.ru                  
 BUKVAR                         NS     dns1.yandex.ru                
 BUKVAR                         NS     dns2.yandex.ru                
 business                       A      194.226.214.30
 cbzh                           NS     ns1.selectel.org              
 cbzh                           NS     ns2.selectel.org              
 cbzh                           NS     ns3.selectel.org              
 cbzh                           NS     ns4.selectel.org              
 cctpu                          NS     ns1.cc.tpu.ru                 
 cctpu                          NS     ns2.cc.tpu.ru                 
 cdod                           NS     ns1.beget.ru                  
 cdod                           NS     ns2.beget.ru                  
 chalna                         NS     dns1.yandex.net               
 chalna                         NS     dns2.yandex.net               
 chelnadezhda                   NS     ns1.beget.com                 
 chelnadezhda                   NS     ns2.beget.com                 
 chelovek                       NS     dns1.yandex.net               
 chelovek                       NS     dns2.yandex.net               
 chem                           NS     ns.runnet.ru                  
 chem                           NS     ns2.runnet.ru                 
 chemistry                      NS     ns.runnet.ru                  
 chemistry                      NS     ns2.runnet.ru                 
 chemphys                       NS     dns1.yandex.ru                
 chemphys                       NS     dns2.yandex.ru                
 chgpu                          NS     dns1.yandex.net               
 chgpu                          NS     dns2.yandex.net               
 china                          A      194.226.214.25
 www.china                      A      194.226.214.25
 china-russia                   A      194.226.214.25
 cn.china-russia                A      194.226.214.25
 www.china-russia               A      194.226.214.25
 chst                           NS     ns1.chst.edu.ru               
 ns1.chst                       A      176.193.79.118
 cib                            NS     ns1.jino.RU                   
 cib                            NS     ns2.jino.RU                   
 cib                            NS     ns3.jino.RU                   
 cib                            NS     ns4.jino.RU                   
 co1481                         NS     dns1.zenon.net                
 co1481                         NS     dns2.zenon.net                
 collection                     NS     dns1.yandex.ru                
 collection                     NS     dns2.yandex.ru                
 collections                    NS     dns1.yandex.ru                
 collections                    NS     dns2.yandex.ru                
 cpmss                          NS     ns1.selectel.org              
 cpmss                          NS     ns2.selectel.org              
 cpmss                          NS     ns3.selectel.org              
 cpmss                          NS     ns4.selectel.org              
 credit                         A      194.226.214.30
 ddt-prk                        NS     ns1.beget.com                 
 ddt-prk                        NS     ns2.beget.com                 
 de-igpi                        NS     dns1.yandex.ru                
 de-igpi                        NS     dns2.yandex.ru                
 ded                            NS     ns1.sitelutions.com           
 ded                            NS     ns2.sitelutions.com           
 ded32                          NS     ns1.sitelutions.com           
 ded32                          NS     ns2.sitelutions.com           
 dgpu-df                        NS     ns1.radiushost.net            
 dgpu-df                        NS     ns2.radiushost.net            
 digital                        A      85.142.23.111
